Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Weekend,Peak Hour
Jurong East,International Business Park,1.326341616,103.7480871,NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,1.334271,103.744626,24.35,23.38,1540.07,0,0.97,0.961999276301775,0,0
Jurong East,International Business Park,1.326341616,103.7480871,NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,1.334271,103.744626,25.52,19.18,1245.85,0,6.33,0.961999276301775,0,0
Jurong East,International Business Park,1.326341616,103.7480871,NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,1.334271,103.744626,16.75,14.6,959.12,0,2.15,0.961999276301775,0,1
Jurong East,International Business Park,1.326341616,103.7480871,NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,1.334271,103.744626,22.6,19.97,1307.88,0,2.63,0.961999276301775,0,1
Jurong East,International Business Park,1.326341616,103.7480871,NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,1.334271,103.744626,24.35,23.38,1540.07,0,0.97,0.961999276301775,1,0
Jurong East,International Business Park,1.326341616,103.7480871,NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,1.334271,103.744626,25.52,19.18,1245.85,0,6.33,0.961999276301775,1,0
Jurong East,International Business Park,1.326341616,103.7480871,NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,1.334271,103.744626,16.75,14.6,959.12,0,2.15,0.961999276301775,1,1
Jurong East,International Business Park,1.326341616,103.7480871,NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,1.334271,103.744626,22.6,19.97,1307.88,0,2.63,0.961999276301775,1,1
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,23.93,11.32,731.68,1,10.42,2.47289914029285,0,0
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,24.77,16.53,1044.65,0,8.23,2.47289914029285,0,0
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,24.77,16.53,1044.65,0,8.23,2.47289914029285,0,0
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,24.77,16.53,1044.65,0,8.23,2.47289914029285,0,1
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,24.77,16.53,1044.65,0,8.23,2.47289914029285,0,1
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,27.05,16.13,1057.25,0,10.92,2.47289914029285,0,1
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,23.93,11.32,731.68,1,10.42,2.47289914029285,1,0
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,24.77,16.53,1044.65,0,8.23,2.47289914029285,1,0
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,24.77,16.53,1044.65,0,8.23,2.47289914029285,1,0
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,24.77,16.53,1044.65,0,8.23,2.47289914029285,1,1
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,24.77,16.53,1044.65,0,8.23,2.47289914029285,1,1
Jurong East,International Business Park,1.326341616,103.7480871,CLEMENTI POLYCLINIC,1.312991,103.765878,27.05,16.13,1057.25,0,10.92,2.47289914029285,1,1
Jurong East,International Business Park,1.326341616,103.7480871,BUKIT BATOK POLYCLINIC,1.352161,103.748974,30.18,13.65,880.59,0,16.53,2.87267687131011,0,0
Jurong East,International Business Park,1.326341616,103.7480871,BUKIT BATOK POLYCLINIC,1.352161,103.748974,31.4,13.65,880.59,0,17.75,2.87267687131011,0,0
Jurong East,International Business Park,1.326341616,103.7480871,BUKIT BATOK POLYCLINIC,1.352161,103.748974,34.77,13.65,880.59,1,17.25,2.87267687131011,0,0
